Court,Year,CaseType,Dismissed,Allowed,Withdrawn,Other
Court of Appeal,2024,Civil,60,25,10,5
Court of Appeal,2024,Criminal,55,30,10,5
Court of Appeal,2023,Civil,60,26,9,5
Court of Appeal,2023,Criminal,54,31,10,5
Court of Appeal,2022,Civil,59,27,9,5
Court of Appeal,2022,Criminal,55,30,10,5
Court of Appeal,2021,Civil,58,28,9,5
Court of Appeal,2021,Criminal,54,31,10,5
Court of Appeal,2020,Civil,57,29,9,5
Court of Appeal,2020,Criminal,53,32,10,5
Court of Appeal,2018,Civil,56,30,9,5
Court of Appeal,2018,Criminal,52,33,10,5
