Court,Year,Metric,Value,Unit
Supreme Court,2017,Filings,689,
Magistrates Court,2017,Filings,2065,
Supreme Court,2017,Disposals,693,
Magistrates Court,2017,Disposals,2478,
Magistrates Court,2017,Pending,910,
Magistrates Court,2017,ClearanceRate,120,%
Supreme Court,2017,PDR,1.7,
Magistrates Court,2017,PDR,0.4,
Supreme Court,2018,Filings,712,
Supreme Court,2018,Disposals,717,
Supreme Court,2018,PDR,1.7,
Supreme Court,2019,Filings,766,
Supreme Court,2019,Disposals,710,
Supreme Court,2019,ClearanceRate,97,%
Supreme Court,2019,PDR,1.7,
Supreme Court,2019,TimelinessCivil,767,days
Supreme Court,2019,Productivity,90,
Supreme Court,2020,Filings,866,
Magistrates Court,2020,PDR,0.7,
Supreme Court,2020,TimelinessCivil,822,days
Magistrates Court,2020,Productivity,279,
All Courts,2021,Pending,2387,
Magistrates Court,2021,Productivity,273,
Island Court,2022,Filings,345,
All Courts,2022,Pending,2465,
All Courts,2023,Pending,2949,
Magistrates Court,2023,PDR,0.7,
Magistrates Court,2023,DVFilings,292,
All Courts,2024,Pending,3113,
Magistrates Court,2024,PDR,0.7,
Magistrates Court,2024,DVFilings,320,
Supreme Court,2025,Filings,958,
Magistrates Court,2025,Filings,2492,
Island Court,2025,Filings,399,
All Courts,2025,Filings,3932,
Supreme Court,2025,Disposals,933,
Magistrates Court,2025,Disposals,2215,
Island Court,2025,Disposals,418,
All Courts,2025,Pending,3227,
Magistrates Court,2025,Pending,1536,
Court of Appeal,2025,Pending,26,
Island Court,2025,Pending,622,
Supreme Court,2025,ClearanceRate,97,%
Magistrates Court,2025,ClearanceRate,89,%
Court of Appeal,2025,ClearanceRate,93,%
Magistrates Court,2025,PDR,0.7,
Magistrates Court,2025,TimelinessCriminal,197,days
Island Court,2025,TimelinessCivil,524,days
Supreme Court,2025,Productivity,109,
Magistrates Court,2025,Productivity,269,
Supreme Court,2025,ReservedJudgments,51,
Magistrates Court,2025,DVFilings,1167,
Magistrates Court,2025,DVDisposals,1135,
Magistrates Court,2025,PIFilings,400,
Magistrates Court,2025,PIDisposals,320,
